=== Tile Grid Scaling ===
=== Task btor ===
Task						Result (MI)	Result (IA)	Process (MI)	Process (IA)	Clock (MI)	Clock (IA)
I16_O16_C2048_W22_H22_F8_N6_D4_S0_T600		PASS		---		0:01:21		---		0:11:47		---
I16_O16_C4096_W24_H24_F8_N6_D4_S0_T600		PASS		---		0:01:10		---		0:08:39		---
I16_O16_C8192_W26_H26_F8_N6_D4_S0_T600		TIMEOUT		---		0:10:01		---		0:00:59		---

=== Max Distance Scaling ===
=== Task btor ===
Task						Result (MI)	Result (IA)	Process (MI)	Process (IA)	Clock (MI)	Clock (IA)
I16_O16_C16_W2_H2_F8_N6_D2_S0_T600		PASS		PASS		0:00:03		0:00:02		0:00:03		0:00:02
I16_O16_C16_W4_H4_F8_N6_D4_S0_T600		PASS		PASS		0:01:10		0:00:21		0:01:10		0:00:20
I16_O16_C16_W6_H6_F8_N6_D8_S0_T600		PASS		PASS		0:07:54		0:01:30		0:07:52		0:01:30
I16_O16_C16_W8_H8_F8_N6_D16_S0_T600		TIMEOUT		PASS		0:10:01		0:04:00		0:00:01		0:03:59
I16_O16_C16_W10_H10_F8_N6_D32_S0_T600		---		PASS		---		0:09:40		---		0:09:39
I16_O16_C16_W12_H12_F8_N6_D64_S0_T600		---		TIMEOUT		---		0:10:01		---		0:00:06

=== Task bitwuzla ===
Task						Result (MI)	Result (IA)	Process (MI)	Process (IA)	Clock (MI)	Clock (IA)
I16_O16_C16_W2_H2_F8_N6_D2_S0_T600		PASS		PASS		0:00:03		0:00:05		0:00:03		0:00:05
I16_O16_C16_W4_H4_F8_N6_D4_S0_T600		PASS		PASS		0:00:37		0:01:52		0:00:37		0:01:53
I16_O16_C16_W6_H6_F8_N6_D8_S0_T600		TIMEOUT		TIMEOUT		0:10:01		0:10:01		0:00:00		0:00:01

=== Task abc ===
Task						Result (MI)	Result (IA)	Process (MI)	Process (IA)	Clock (MI)	Clock (IA)
I16_O16_C16_W2_H2_F8_N6_D2_S0_T600		PASS		PASS		0:00:00		0:00:00		0:00:00		0:00:00
I16_O16_C16_W4_H4_F8_N6_D4_S0_T600		PASS		PASS		0:00:32		0:00:08		0:00:32		0:00:08
I16_O16_C16_W6_H6_F8_N6_D8_S0_T600		TIMEOUT		PASS		0:10:01		0:00:26		0:00:01		0:00:26
I16_O16_C16_W8_H8_F8_N6_D16_S0_T600		---		PASS		---		0:00:59		---		0:01:00
I16_O16_C16_W10_H10_F8_N6_D32_S0_T600		---		PASS		---		0:02:46		---		0:02:48
I16_O16_C16_W12_H12_F8_N6_D64_S0_T600		---		TIMEOUT		---		0:10:01		---		0:00:11

=== Task aiger ===
Task						Result (MI)	Result (IA)	Process (MI)	Process (IA)	Clock (MI)	Clock (IA)
I16_O16_C16_W2_H2_F8_N6_D2_S0_T600		PASS		PASS		0:00:00		0:00:00		0:00:00		0:00:00
I16_O16_C16_W4_H4_F8_N6_D4_S0_T600		PASS		PASS		0:00:00		0:00:01		0:00:02		0:00:05
I16_O16_C16_W6_H6_F8_N6_D8_S0_T600		PASS		PASS		0:00:01		0:00:03		0:00:04		0:00:17
I16_O16_C16_W8_H8_F8_N6_D16_S0_T600		PASS		PASS		0:00:03		0:00:09		0:00:12		0:00:58
I16_O16_C16_W10_H10_F8_N6_D32_S0_T600		PASS		PASS		0:00:05		0:00:23		0:00:23		0:02:36
I16_O16_C16_W12_H12_F8_N6_D64_S0_T600		PASS		PASS		0:00:10		0:01:01		0:00:47		0:08:42
I16_O16_C16_W14_H14_F8_N6_D128_S0_T600		PASS		PASS		0:00:14		0:02:06		0:01:11		0:18:08
I16_O16_C16_W16_H16_F8_N6_D256_S0_T600		PASS		PASS		0:00:24		0:04:07		0:02:36		0:35:44
I16_O16_C16_W18_H18_F8_N6_D512_S0_T600		PASS		PASS		0:00:31		0:06:55		0:03:06		1:00:24
I16_O16_C16_W20_H20_F8_N6_D1024_S0_T600		PASS		TIMEOUT		0:00:47		0:10:01		0:05:41		0:00:44
I16_O16_C16_W22_H22_F8_N6_D2048_S0_T600		PASS		---		0:01:28		---		0:12:53		---
I16_O16_C16_W24_H24_F8_N6_D4096_S0_T600		PASS		---		0:01:45		---		0:15:52		---
I16_O16_C16_W26_H26_F8_N6_D8192_S0_T600		TIMEOUT		---		0:10:01		---		0:01:02		---

